Ys,Yserr,UEL,UELerr,Bs,Bserr,cRA,cRAerr,fA,fAerr,HAGB,HAGBerr,Ms,Mserr,Ms_RA,Mserr_RA,L_Austenite,L_Kappa,L_Bs1,L_valid,C,Si,Mn,Cr,Al,Mo,V,T,ges wper,L_cRA,L_Ms,L_MsRA,L_Bs2,AQ_UEL,AQ_Ys
1390.935762985538,165.80489346358684,13.08967399597168,4.709216594696045,382.8572998046875,18.0899658203125,4.79872989654541,0.4603884220123291,0.34856998920440674,0.05526760220527649,1.5402516142203169,0.3339988981939868,252.420654296875,36.787437438964844,-165.85650634765625,36.78744888305664,1.0,1.0,1.0,False,0.5783771224968107,3.2500528776838564,0.48768961466757554,1.8137752026082206,1.2281363230642324,2.8583608818179034,0.0020569814685617582,285.884562011696,10.21844900380716,True,True,True,False,3.67124080657959,1059.3259760583644
447.2286643230011,151.18202993004346,11.213950157165527,6.856125831604004,273.9493408203125,17.392478942871094,3.622624158859253,0.09650986641645432,0.9809085726737976,0.0505586713552475,0.25017022125862054,0.3640599796655789,164.25718688964844,36.78744888305664,-53.759490966796875,36.78744888305664,0.0,0.0,0.0,False,0.8272236228739881,3.7675796495308855,1.4317574083907707,1.9538863786055383,1.0897916312026248,2.098446841952832,0.255069219679546,290.7117774783417,11.423754752236185,True,True,True,False,-2.4983015060424805,144.8646044629142
858.8613711099096,199.84144704554637,12.261900901794434,2.690782070159912,463.3443298339844,39.61490249633789,4.1061320304870605,0.676532506942749,0.4847203195095062,0.1627943366765976,0.44219266245005573,0.20539363002826047,212.71188354492188,36.787445068359375,-116.57986450195312,36.78744888305664,1.0,0.0,1.0,False,0.6155762345947269,1.9236253460698545,2.1438633493029493,0.011856414701731932,2.5083348670509853,1.3254718301126545,0.11426605904350357,386.71714906998204,8.642994100876406,True,True,True,True,6.880336761474609,459.1784770188168
639.8760117147307,211.06985851558818,8.633504867553711,5.790355682373047,271.7150573730469,11.952431678771973,1.2974423170089722,0.23082272708415985,0.8164017200469971,0.14458204805850983,2.18570713775708,0.2838028292960838,275.9867248535156,36.787445068359375,182.68817138671875,36.787445068359375,1.0,1.0,0.0,False,0.2339881381517525,3.7550218420188357,3.635590151806809,1.8621579793560281,0.47394776008829353,1.010953544445102,0.22700519855559304,261.73465145536295,11.198664614422414,True,False,False,False,-2.947206497192383,217.73629468355432
425.83744368251564,135.42493085309192,10.530096054077148,6.920517444610596,519.9645385742188,10.611254692077637,1.752592921257019,0.05064854398369789,0.9787930846214294,0.06408355385065079,0.5324342753362633,0.5780631234804537,341.4576110839844,36.787445068359375,237.38067626953125,36.787445068359375,1.0,1.0,0.0,False,0.3817551643453239,1.0572423309712962,0.07825747590375354,1.0037185973174014,0.5610869339549676,2.111095688444971,0.2800726592465196,533.0374568830186,5.473228850184233,True,True,False,True,-3.310938835144043,154.9875819763318
709.4616856093152,166.4978656989906,8.721739768981934,2.4997072219848633,546.1143188476562,67.73368072509766,4.104780673980713,0.734991192817688,0.3384860157966614,0.1039852723479271,1.0075048772590864,0.18426509640482555,255.97802734375,36.787445068359375,-137.24331665039062,36.78744888305664,0.0,0.0,1.0,False,0.37963039008950306,3.1564561060302383,2.3145991060045126,0.16568428111489775,2.9497857477728298,0.1225600429778333,0.30431381731070445,381.082045425489,9.39302949130052,True,True,True,True,3.722325325012207,376.46595421133395
963.3701734329238,145.58617242374416,9.361349105834961,5.018426418304443,373.1025085449219,12.148656845092773,2.6755731105804443,0.3183399736881256,0.43034079670906067,0.10579867660999298,1.3451099971557081,0.1517965358737413,293.1914978027344,36.787445068359375,77.41549682617188,36.787437438964844,1.0,1.0,1.0,False,0.3816500762850369,1.3697311597212545,1.5507516489314979,2.9774880106980626,0.7882300750576827,1.0333257617653886,0.1478483105440524,335.0946917788964,8.249025043002975,True,True,False,False,-0.6755037307739258,672.1978285854354
1048.2012933101857,253.07455968493093,10.681669235229492,4.1276631355285645,401.5132141113281,32.71519470214844,2.4672720432281494,0.6409081816673279,0.36343470215797424,0.12087184935808182,0.8585120659641393,0.31342404509330496,278.38641357421875,36.787445068359375,31.944732666015625,36.787437438964844,0.0,1.0,1.0,False,0.18823833800866765,3.1414450449864812,2.3817953405523395,0.7174794019832347,2.341225024599814,2.5027311907806493,0.44199797595819496,322.1392953408215,11.71491231686938,True,True,False,False,2.4263429641723633,542.0521739403239
512.587837115275,156.2889599666374,8.21925163269043,4.884796619415283,524.824462890625,10.767756462097168,1.7833691835403442,0.2745243310928345,0.3736438751220703,0.07315952330827713,1.1132455950902749,0.489875916306512,392.4973449707031,36.787445068359375,224.82708740234375,36.78744888305664,0.0,1.0,1.0,False,0.15926117187425942,2.115509249422526,0.11384652774171311,1.6841016343523232,0.5982662495660276,1.572486298206015,0.20361184767871876,484.4724393893946,6.447082978841583,True,True,False,True,-1.5503416061401367,200.00991718200015
423.28523591483497,130.75361294422595,10.88547134399414,6.648297309875488,389.5977783203125,13.40274715423584,3.498239040374756,1.430511474609375e-06,1.0,0.0,0.8650128347350923,0.6017620173429767,207.5655975341797,36.78744888305664,0.530609130859375,36.78744888305664,0.0,0.0,0.0,False,0.7893414936072195,1.4258681685311747,1.5153643634730205,1.3176241104837363,0.5660374770146674,0.3455646111012345,0.42118646530686377,467.642046550101,6.380986689517917,True,True,True,False,-2.411123275756836,161.77801002638307
1324.3320909167098,161.49348457048006,5.3505706787109375,3.1430118083953857,534.5440063476562,33.459938049316406,6.936251640319824,0.6696611642837524,0.11110036820173264,0.025187300518155098,1.1228166950173155,0.2300631080538983,295.66705322265625,36.78744888305664,-412.01611328125,36.78742980957031,1.0,1.0,1.0,False,0.4356834381056275,1.1505662144461595,0.26471648304791984,1.863702344387724,2.081781443440245,1.329354054316163,0.23633636217807946,291.83496305182075,7.362140339921918,True,False,True,True,-0.935452938079834,1001.3451217757497
